Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null
1100	-982.071	-170.981	-811.09	0.0371752	0.643233	0.154411	0.756024	0.08373873	0.9572031	0.756024	0.1544114	0.6432327	0.0371752	0.02614762	0.05759111	0.04279685	69.38825	0.06755083	0.115293	0.115293	0.115293	0.115293	0.115293	0.115293	0.0277573	0.0277573	0.0277573	0.0277573	0.0277573	0.0277573	0.0236162	0.0236162	0.0236162	0.0236162	0.0236162	0.0236162	69.38825	1758.837	0.3122524	0.2424284	0.189424	0.568148	0.242428	0.5681476	0.7575716	0.1894241
1150	-983.731	-171.236	-812.494	0.0165725	0.776162	0.0966644	0.662861	0.1270504	0.9314655	0.6628607	0.09666443	0.7761618	0.01657249	0.09822939	0.02882102	0.06853454	69.38825	0.04546384	0.12146	0.12146	0.12146	0.12146	0.12146	0.12146	0.0208236	0.0208236	0.0208236	0.0208236	0.0208236	0.0208236	0.0243829	0.0243829	0.0243829	0.0243829	0.0243829	0.0243829	69.38825	1758.837	0.7731529	0.1018154	0.66024	0.237945	0.101815	0.237945	0.8981846	0.6602397
1200	-980.518	-170.669	-809.849	0.019828	0.888791	0.175043	0.734497	0.0930085	0.9461989	0.734497	0.1750434	0.8887911	0.01982803	0.03787557	0.05513293	0.05380109	69.38825	0.04590431	0.133297	0.133297	0.133297	0.133297	0.133297	0.133297	0.0150992	0.0150992	0.0150992	0.0150992	0.0150992	0.0150992	0.018271	0.018271	0.018271	0.018271	0.018271	0.018271	69.38825	1758.837	0.407227	0.2593318	0.0762082	0.66446	0.259332	0.66446	0.7406682	0.0762082
1250	-979.572	-170.224	-809.348	0.0295491	0.921373	0.237582	0.844585	0.09264206	0.9103083	0.8445846	0.2375824	0.9213728	0.02954909	0.0321213	0.06052075	0.08969171	69.38825	0.02820132	0.132269	0.132269	0.132269	0.132269	0.132269	0.132269	0.0164509	0.0164509	0.0164509	0.0164509	0.0164509	0.0164509	0.0179465	0.0179465	0.0179465	0.0179465	0.0179465	0.0179465	69.38825	1758.837	0.3467249	0.1373019	0.61256	0.250138	0.137302	0.2501379	0.8626981	0.6125602
1300	-979.595	-170.484	-809.111	0.13371	0.614592	0.311091	0.693997	0.1055636	0.8883819	0.6939965	0.311091	0.6145925	0.1337099	0.05256777	0.05299579	0.1116181	69.38825	0.03401414	0.0920585	0.0920585	0.0920585	0.0920585	0.0920585	0.0920585	0.0395676	0.0395676	0.0395676	0.0395676	0.0395676	0.0395676	0.0350405	0.0350405	0.0350405	0.0350405	0.0350405	0.0350405	69.38825	1758.837	0.4979727	0.07329987	0.803214	0.123486	0.0732999	0.1234858	0.9267001	0.8032143
1350	-978.652	-169.57	-809.082	0.17045	0.631946	0.315897	0.915002	0.1016587	0.8989658	0.9150017	0.3158971	0.6319459	0.1704502	0.04038911	0.06126956	0.1010342	69.38825	0.02904299	0.0871581	0.0871581	0.0871581	0.0871581	0.0871581	0.0871581	0.0470284	0.0470284	0.0470284	0.0470284	0.0470284	0.0470284	0.0324801	0.0324801	0.0324801	0.0324801	0.0324801	0.0324801	69.38825	1758.837	0.3973012	0.2483655	0.429564	0.32207	0.248366	0.3220704	0.7516345	0.4295641
1400	-981.379	-172.692	-808.687	0.414951	0.873619	0.52485	0.98854	0.1051389	0.8022267	0.9885398	0.5248503	0.8736188	0.4149509	0.04106079	0.06407812	0.1977733	69.38825	0.01651572	0.0669531	0.0669531	0.0669531	0.0669531	0.0669531	0.0669531	0.0529337	0.0529337	0.0529337	0.0529337	0.0529337	0.0529337	0.0467799	0.0467799	0.0467799	0.0467799	0.0467799	0.0467799	69.38825	1758.837	0.3905385	0.09354797	0.661861	0.244591	0.093548	0.2445914	0.906452	0.6618606
1450	-978.448	-168.952	-809.496	0.450212	0.645256	0.267435	0.872192	0.1003755	0.935241	0.8721917	0.2674354	0.6452562	0.4502122	0.04927629	0.05109922	0.06475904	69.38825	0.04039155	0.042421	0.042421	0.042421	0.042421	0.042421	0.042421	0.0714133	0.0714133	0.0714133	0.0714133	0.0714133	0.0714133	0.0528323	0.0528323	0.0528323	0.0528323	0.0528323	0.0528323	69.38825	1758.837	0.4909195	0.03858306	0.251833	0.709584	0.0385831	0.7095842	0.9614169	0.2518327
1500	-980.914	-171.326	-809.588	0.455292	0.837015	0.126477	0.501118	0.098269	0.9078917	0.501118	0.1264769	0.8370154	0.4552921	0.03415721	0.06411179	0.09210834	69.38825	0.03894511	0.0157047	0.0157047	0.0157047	0.0157047	0.0157047	0.0157047	0.0565338	0.0565338	0.0565338	0.0565338	0.0565338	0.0565338	0.0944282	0.0944282	0.0944282	0.0944282	0.0944282	0.0944282	69.38825	1758.837	0.3475889	0.3209562	0.592652	0.0863916	0.320956	0.08639159	0.6790438	0.5926522
1550	-980.154	-170.425	-809.729	0.635291	0.542082	0.298835	0.313037	0.09667123	0.934238	0.3130369	0.2988347	0.5420818	0.6352906	0.04524219	0.05142904	0.06576203	69.38825	0.04327706	0.0244836	0.0244836	0.0244836	0.0244836	0.0244836	0.0244836	0.0520495	0.0520495	0.0520495	0.0520495	0.0520495	0.0520495	0.0901335	0.0901335	0.0901335	0.0901335	0.0901335	0.0901335	69.38825	1758.837	0.4680006	0.3775811	0.192656	0.429763	0.377581	0.4297631	0.6224189	0.1926557
1600	-981.697	-171.985	-809.712	0.509133	0.298527	0.589447	0.930937	0.08976489	0.919865	0.9309368	0.5894465	0.2985274	0.5091328	0.02741886	0.06234604	0.08013503	69.38825	0.03171263	0.0778551	0.0778551	0.0778551	0.0778551	0.0778551	0.0778551	0.0672471	0.0672471	0.0672471	0.0672471	0.0672471	0.0672471	0.0215644	0.0215644	0.0215644	0.0215644	0.0215644	0.0215644	69.38825	1758.837	0.3054519	0.7787992	0.191114	0.0300864	0.778799	0.03008645	0.2212008	0.1911143
1650	-980.102	-170.42	-809.682	0.419116	0.936035	0.642083	0.880092	0.08954094	0.9117455	0.8800924	0.6420829	0.9360346	0.4191165	0.02607408	0.06346685	0.0882545	69.38825	0.02902785	0.0710132	0.0710132	0.0710132	0.0710132	0.0710132	0.0710132	0.0463535	0.0463535	0.0463535	0.0463535	0.0463535	0.0463535	0.0492999	0.0492999	0.0492999	0.0492999	0.0492999	0.0492999	69.38825	1758.837	0.2911974	0.3797319	0.169417	0.450851	0.379732	0.4508511	0.6202681	0.1694171
1700	-978.382	-169.179	-809.203	0.420987	0.901846	0.208907	0.845464	0.1103367	0.9089285	0.8454645	0.2089074	0.9018461	0.4209871	0.05219459	0.05814208	0.09107147	69.38825	0.03589558	0.03227	0.03227	0.03227	0.03227	0.03227	0.03227	0.06503	0.06503	0.06503	0.06503	0.06503	0.06503	0.0693667	0.0693667	0.0693667	0.0693667	0.0693667	0.0693667	69.38825	1758.837	0.4730484	0.09398109	0.381044	0.524975	0.0939811	0.5249746	0.9060189	0.3810443
1750	-978.419	-169.175	-809.244	0.405626	0.705183	0.345144	0.923353	0.09484878	0.8986234	0.9233527	0.3451439	0.7051833	0.4056259	0.03964437	0.05520441	0.1013766	69.38825	0.02837517	0.0542395	0.0542395	0.0542395	0.0542395	0.0542395	0.0542395	0.0637443	0.0637443	0.0637443	0.0637443	0.0637443	0.0637443	0.0486828	0.0486828	0.0486828	0.0486828	0.0486828	0.0486828	69.38825	1758.837	0.4179745	0.2017015	0.789083	0.00921584	0.201702	0.009215842	0.7982985	0.7890826
1800	-979.254	-169.921	-809.332	0.575554	0.543401	0.286176	0.65981	0.1009895	0.9031686	0.6598103	0.2861764	0.5434009	0.5755544	0.04852728	0.05246224	0.09683143	69.38825	0.03752139	0.0357076	0.0357076	0.0357076	0.0357076	0.0357076	0.0357076	0.0718146	0.0718146	0.0718146	0.0718146	0.0718146	0.0718146	0.0591445	0.0591445	0.0591445	0.0591445	0.0591445	0.0591445	69.38825	1758.837	0.480518	0.7125516	0.282887	0.00456101	0.712552	0.004561005	0.2874484	0.2828874
1850	-980.768	-170.243	-810.524	0.429028	0.993325	0.302695	0.967753	0.103999	0.864603	0.9677533	0.3026951	0.9933254	0.4290278	0.02965217	0.07434684	0.135397	69.38825	0.03020028	0.0430422	0.0430422	0.0430422	0.0430422	0.0430422	0.0430422	0.0610062	0.0610062	0.0610062	0.0610062	0.0610062	0.0610062	0.0626183	0.0626183	0.0626183	0.0626183	0.0626183	0.0626183	69.38825	1758.837	0.2851198	0.0833646	0.491578	0.425058	0.0833646	0.4250577	0.9166354	0.4915777
1900	-981.503	-171.798	-809.706	0.928622	0.405862	0.429143	0.854301	0.1054257	0.8729443	0.8543005	0.4291432	0.4058621	0.9286216	0.03628881	0.06913686	0.1270557	69.38825	0.02742694	0.039759	0.039759	0.039759	0.039759	0.039759	0.039759	0.0860344	0.0860344	0.0860344	0.0860344	0.0860344	0.0860344	0.0408733	0.0408733	0.0408733	0.0408733	0.0408733	0.0408733	69.38825	1758.837	0.3442123	0.3893397	0.519607	0.0910538	0.38934	0.09105376	0.6106603	0.5196065
1950	-980.345	-170.274	-810.071	0.894867	0.299598	0.257135	0.475424	0.102415	0.9544609	0.475424	0.2571352	0.2995979	0.894867	0.03766293	0.06475204	0.04553906	69.38825	0.06329026	0.0249754	0.0249754	0.0249754	0.0249754	0.0249754	0.0249754	0.0869181	0.0869181	0.0869181	0.0869181	0.0869181	0.0869181	0.0547732	0.0547732	0.0547732	0.0547732	0.0547732	0.0547732	69.38825	1758.837	0.3677483	0.2208796	0.332182	0.446939	0.22088	0.4469389	0.7791204	0.3321815
2000	-982.197	-169.078	-813.118	0.281493	0.519	0.271864	0.557346	0.07155062	0.9393758	0.5573457	0.2718642	0.5189997	0.2814934	0.01076279	0.06078782	0.06062417	69.38825	0.04880316	0.055563	0.055563	0.055563	0.055563	0.055563	0.055563	0.0575309	0.0575309	0.0575309	0.0575309	0.0575309	0.0575309	0.0535728	0.0535728	0.0535728	0.0535728	0.0535728	0.0535728	69.38825	1758.837	0.1504221	0.2830194	0.44367	0.27331	0.283019	0.2733103	0.7169806	0.4436703
2050	-985.786	-172.363	-813.423	0.18801	0.200704	0.1494	0.531491	0.1332134	0.9511852	0.5314912	0.1494004	0.2007036	0.1880103	0.05927108	0.07394234	0.04881479	69.38825	0.07766682	0.0609686	0.0609686	0.0609686	0.0609686	0.0609686	0.0609686	0.0767249	0.0767249	0.0767249	0.0767249	0.0767249	0.0767249	0.0289731	0.0289731	0.0289731	0.0289731	0.0289731	0.0289731	69.38825	1758.837	0.4449332	0.1846501	0.0391633	0.776187	0.18465	0.7761866	0.8153499	0.0391633
2100	-979.179	-169.457	-809.722	0.542175	0.607299	0.163929	0.376569	0.1099585	0.9507768	0.3765695	0.1639287	0.6072989	0.5421754	0.05094368	0.05901482	0.04922322	69.38825	0.05874293	0.0172868	0.0172868	0.0172868	0.0172868	0.0172868	0.0172868	0.0571742	0.0571742	0.0571742	0.0571742	0.0571742	0.0571742	0.0922056	0.0922056	0.0922056	0.0922056	0.0922056	0.0922056	69.38825	1758.837	0.4632991	0.4081966	0.18457	0.407234	0.408197	0.4072336	0.5918034	0.1845698
2150	-981.272	-171.012	-810.26	0.554873	0.485148	0.332722	0.493327	0.1066263	0.9668099	0.4933274	0.3327218	0.4851484	0.5548727	0.06198378	0.04464248	0.0331901	69.38825	0.06298572	0.0386903	0.0386903	0.0386903	0.0386903	0.0386903	0.0386903	0.064523	0.064523	0.064523	0.064523	0.064523	0.064523	0.0634533	0.0634533	0.0634533	0.0634533	0.0634533	0.0634533	69.38825	1758.837	0.5813182	0.1163509	0.467477	0.416172	0.116351	0.4161721	0.8836491	0.4674769
2200	-982.529	-171.938	-810.591	0.911148	0.402066	0.661024	0.953527	0.08481588	0.9214083	0.9535268	0.6610238	0.4020658	0.9111481	0.03522832	0.04958755	0.07859168	69.38825	0.0270508	0.0563139	0.0563139	0.0563139	0.0563139	0.0563139	0.0563139	0.0776224	0.0776224	0.0776224	0.0776224	0.0776224	0.0776224	0.0327304	0.0327304	0.0327304	0.0327304	0.0327304	0.0327304	69.38825	1758.837	0.4153506	0.6312164	0.0302338	0.33855	0.631216	0.3385498	0.3687836	0.03023378
2250	-980.576	-170.486	-810.09	0.22619	0.800631	0.123032	0.96185	0.08589665	0.9085817	0.9618499	0.1230316	0.8006314	0.2261895	0.026078	0.05981866	0.09141831	69.38825	0.03344439	0.0381495	0.0381495	0.0381495	0.0381495	0.0381495	0.0381495	0.0701365	0.0701365	0.0701365	0.0701365	0.0701365	0.0701365	0.0583807	0.0583807	0.0583807	0.0583807	0.0583807	0.0583807	69.38825	1758.837	0.3035973	0.3268339	0.103117	0.570049	0.326834	0.5700487	0.6731661	0.1031174
2300	-980.408	-170.506	-809.902	0.972109	0.517276	0.303365	0.312494	0.09651532	0.9285854	0.3124943	0.3033655	0.5172758	0.9721085	0.04707233	0.04944299	0.07141457	69.38825	0.04413115	0.0175278	0.0175278	0.0175278	0.0175278	0.0175278	0.0175278	0.0561662	0.0561662	0.0561662	0.0561662	0.0561662	0.0561662	0.0929727	0.0929727	0.0929727	0.0929727	0.0929727	0.0929727	69.38825	1758.837	0.4877187	0.3782089	0.365526	0.256265	0.378209	0.2562646	0.6217911	0.3655265
2350	-981.016	-171.026	-809.991	0.998857	0.570109	0.499755	0.610454	0.1217456	0.9051696	0.6104543	0.4997553	0.5701091	0.9988575	0.05984983	0.06189576	0.09483041	69.38825	0.03967502	0.0342563	0.0342563	0.0342563	0.0342563	0.0342563	0.0342563	0.0684677	0.0684677	0.0684677	0.0684677	0.0684677	0.0684677	0.0639427	0.0639427	0.0639427	0.0639427	0.0639427	0.0639427	69.38825	1758.837	0.4915975	0.4678887	0.512012	0.0200996	0.467889	0.02009958	0.5321113	0.5120117
