Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
2100	-962.164	-152.721	-809.443	0.0691841	0.0675856	0.0677936	0.0692237	0.0728373	0.0939403	0.0671463	0.0722331	0.073086	0.0722404	0.025184	0.0178172	0.0359737	0.0297986	0.0300036	0.0311989	0.0523912	0.0523626	0.00862231	0.105077	0.886301	0	0.6448876
2150	-956.824	-147.185	-809.639	0.045134	0.0387454	0.0389807	0.0402681	0.0515565	0.0916927	0.106144	0.122264	0.124567	0.124542	0.0236388	0.0290533	0.0250039	0.0198647	0.0201683	0.0204493	0.033778	0.0441493	0.0135529	0.0733974	0.91305	0	0.6264766
2200	-956.014	-145.725	-810.289	0.13328	0.125954	0.125648	0.123768	0.12523	0.0251459	0.0631227	0.0828549	0.085354	0.0847357	0.00252647	0.000456153	0.00477252	0.0036691	0.00377634	0.00375109	0.00498753	0.000968105	0.000755901	0.015604	0.98364	0	0.5739638
2250	-958.681	-148.742	-809.939	0.120526	0.118942	0.119511	0.121067	0.124909	0.156752	0.050163	0.0536669	0.0544398	0.0544592	0.00568027	0.00544137	0.00176157	0.00158718	0.00160887	0.00161714	0.00392148	0.00394655	0.0160879	0.01437	0.969542	0	0.8342852
2300	-956.492	-146.644	-809.848	0.0358105	0.0358378	0.0363209	0.0391073	0.055284	0.0977033	0.117404	0.11954	0.120501	0.12348	0.0211855	0.026903	0.022655	0.0226696	0.0228129	0.0233368	0.0373908	0.0420589	0.0459869	0.00977537	0.944238	0	0.9825927
2350	-957.121	-147.777	-809.343	0.0539248	0.0528891	0.0533748	0.0551833	0.0638781	0.138078	0.128654	0.132074	0.133173	0.134581	0.00850482	0.0116544	0.00391702	0.00378743	0.00381772	0.00386269	0.00832653	0.0103183	0.0151512	0.00582451	0.979024	0	0.9399994
2400	-958.322	-147.783	-810.54	0.0801801	0.0678201	0.0677769	0.0680691	0.0770349	0.111407	0.0737013	0.107157	0.109659	0.109076	0.0140129	0.0156151	0.0175474	0.0132119	0.0134798	0.0134503	0.0188013	0.0220004	0.00642682	0.0739375	0.919636	0	0.451027
2450	-963.946	-153.123	-810.823	0.066399	0.0650395	0.06556	0.0682228	0.0782044	0.100142	0.0828179	0.0854775	0.0860426	0.08484	0.0356752	0.0329023	0.0216745	0.0204354	0.0205235	0.0210666	0.0315438	0.0334334	0.0166004	0.198948	0.784452	0	0.8581401
2500	-957.588	-146.839	-810.748	0.0534114	0.0484474	0.0490899	0.0504361	0.0624172	0.116727	0.109892	0.121797	0.124043	0.125111	0.0129903	0.0187497	0.0156498	0.0137654	0.0139898	0.0141747	0.0212046	0.0281027	0.0188355	0.0362452	0.944919	0	0.770551
2550	-956.8	-146.303	-810.497	0.0402366	0.0392489	0.0395031	0.040667	0.0493107	0.0562409	0.110743	0.11289	0.11351	0.113097	0.0194363	0.0163649	0.0373642	0.0360719	0.0362321	0.0368113	0.0532809	0.0489906	0.00517473	0.0910551	0.90377	0	0.9336653
2600	-961.857	-152.033	-809.824	0.0514554	0.0477557	0.0484429	0.0512268	0.0745363	0.101946	0.103063	0.112294	0.114081	0.117438	0.0283447	0.0343898	0.0155783	0.0141898	0.0143971	0.0148297	0.0257016	0.0303304	0.079309	0.0426786	0.878012	0	0.8080409
