Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
1650	-958.174	-148.269	-809.905	0.057286	0.0246069	0.00735816	0.00754232	0.0634116	0.0629528	0.0749274	0.0756861	0.0752821	0.0769899	0.0794855	0.0776454	0.0103545	0.0876366	0.0873147	0.0889182	0.010213	0.0323888	0.0288692	0.0512837	0.919847	0	0.2893494
1700	-960.411	-149.97	-810.442	0.0352443	0.0211989	0.00524646	0.00537971	0.0381135	0.0372123	0.0822161	0.0772827	0.077076	0.0791378	0.0857067	0.0817134	0.0178769	0.0935371	0.0933945	0.0949677	0.0174916	0.0572044	0.0325186	0.0727436	0.894738	0	0.5102658
1750	-956.93	-146.065	-810.866	0.0792695	0.0424847	0.00546453	0.00584512	0.0991536	0.099193	0.0605973	0.0681461	0.0676007	0.0686924	0.0677175	0.0666501	0.00325919	0.0789743	0.0786179	0.0795107	0.00307969	0.0257436	0.0034017	0.0222609	0.974337	0	0.3125115
1800	-956.536	-146.932	-809.604	0.124377	0.066889	0.0137783	0.014451	0.161179	0.160672	0.0349213	0.0446083	0.0447984	0.0430743	0.0388141	0.0374056	0.00215054	0.0666412	0.0667971	0.0647683	0.00198999	0.0126851	0.00646926	0.0123545	0.981176	0	0.2036771
1850	-958.848	-147.662	-811.187	0.0964502	0.0800339	0.00773671	0.00799412	0.112302	0.111786	0.0556956	0.0612848	0.0612929	0.0621304	0.0594801	0.0578562	0.00260562	0.0615885	0.0615919	0.062076	0.0025327	0.0355619	0.0069478	0.0154052	0.977647	0	0.5991501
1900	-958.443	-149.067	-809.376	0.0792528	0.0530479	0.0168023	0.0172066	0.0882672	0.0868413	0.0603845	0.0636913	0.0653967	0.0665493	0.0635193	0.0599506	0.0115246	0.0722535	0.0733724	0.0743862	0.0112173	0.036336	0.0309347	0.0710522	0.898013	0	0.4649505
1950	-959.206	-149.012	-810.194	0.050618	0.0410196	0.00247813	0.00260724	0.0586929	0.0587902	0.0869032	0.0898586	0.0893294	0.090522	0.0906388	0.0897719	0.00174864	0.0677721	0.0675406	0.0681188	0.00168467	0.0419053	0.000899496	0.0158682	0.983232	0	0.6119867
2000	-963.348	-152.683	-810.665	0.059609	0.013329	0.00646926	0.00655017	0.0625242	0.0624609	0.087651	0.0881702	0.0877419	0.0889309	0.0905793	0.0899981	0.00777488	0.0749637	0.0746685	0.075596	0.00772039	0.0152624	0.0421345	0.0393854	0.91848	0	0.1143481
2050	-962.924	-153.033	-809.891	0.0705558	0.0303402	0.00594065	0.00611014	0.0800376	0.0793761	0.0665198	0.0726733	0.0723067	0.0737138	0.0733552	0.0720031	0.00741301	0.0839522	0.08368	0.0849325	0.00718664	0.0299034	0.00795619	0.0533351	0.938709	0	0.3121209
2100	-963.628	-153.806	-809.822	0.0478463	0.0355638	0.0166498	0.0168199	0.0491544	0.0462836	0.0797692	0.0723847	0.0753925	0.0765788	0.0806137	0.0727704	0.0273575	0.0720297	0.0738549	0.0747035	0.0272633	0.054964	0.148696	0.092499	0.758805	0	0.6449494
2150	-962.403	-152.591	-809.813	0.0796584	0.0374581	0.0326282	0.0330828	0.0864914	0.0879671	0.0656992	0.0700866	0.0714878	0.0709882	0.0665182	0.0643943	0.0210723	0.0580805	0.0587349	0.0583676	0.0186128	0.0186716	0.023653	0.222743	0.753604	0	0.08613483
2200	-962.549	-151.734	-810.815	0.0678168	0.0346448	0.0182228	0.0186395	0.0732273	0.0722181	0.0654122	0.0652341	0.0663421	0.0677102	0.0681104	0.0650652	0.0213354	0.0788242	0.079656	0.0810232	0.0206418	0.0358758	0.0426202	0.145812	0.811567	0	0.3010715
2250	-959.605	-149.35	-810.255	0.0654202	0.0584595	0.00213982	0.00217328	0.0691882	0.0687273	0.077806	0.0801634	0.0800958	0.0811155	0.0806441	0.0795028	0.0019537	0.0654416	0.0654075	0.0659431	0.00195931	0.0538588	0.00336658	0.0169381	0.979695	0	0.8268613
2300	-956.842	-146.997	-809.845	0.0230032	0.0184331	0.00129942	0.00131671	0.0241751	0.0237165	0.0803389	0.0780218	0.077806	0.0785006	0.0820218	0.0791652	0.0075099	0.110304	0.110145	0.110692	0.0073204	0.0862309	0.00307155	0.0366115	0.960317	0	0.76026
2350	-958.008	-148.646	-809.362	0.0837393	0.0805071	0.0101277	0.0101408	0.0819943	0.0791392	0.0637244	0.0619817	0.0648088	0.0651768	0.0622429	0.0576862	0.00491224	0.0681257	0.0702069	0.0704905	0.00482766	0.0601677	0.0362234	0.00997566	0.953801	0	0.9531661
2400	-960.665	-150.603	-810.062	0.0646248	0.0566542	0.0138097	0.0139116	0.0655797	0.0618925	0.0692577	0.0651441	0.068717	0.0697738	0.0693493	0.0621686	0.0145962	0.0744915	0.0767224	0.0774614	0.0145221	0.0613234	0.0777921	0.0274727	0.894735	0	0.8427815
2450	-958.452	-148.672	-809.78	0.0527669	0.042927	0.0143052	0.0148063	0.0578801	0.0565438	0.0664871	0.0616984	0.0639596	0.0657583	0.0693912	0.0630338	0.0220184	0.0846408	0.0862566	0.0877197	0.0219027	0.067904	0.00199081	0.161428	0.836582	0	0.753857
2500	-959.697	-149.696	-810.002	0.0957713	0.0361982	0.0210088	0.0216825	0.109947	0.110277	0.0420106	0.0446955	0.0448383	0.044965	0.0439628	0.0424882	0.0148263	0.0978871	0.098024	0.0982567	0.0131156	0.0200455	0.0212232	0.0486686	0.930108	0	0.1157592
